Configuration Report for Ex_OntEthSvc generated on Wed Sep 12 11:10:28 CDT 2018
 REGION , NETWORK , DESCR , TAG-ACTION , BW-PROF , OUT-TAG , IN-TAG , MCAST-PROF , ID , PON-COS , US-CIR-OVERRIDE , US-PIR-OVERRIDE , DS-PIR-OVERRIDE , DS-CIR-OVERRIDE , HOT-SWAP , ONT , IGMP-SNOOP , DHCP-SNOOP , MAC-FORCE-FORW , IP-SRC-VERIFY , MULTICAST-FILTERING ,
Hicks, , ,3(@AE Data),53(@HSI-LITE-AE),1703, , ,GE-1-1, , , , , , ,613640,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),624, , ,GE-1-1, , , , , , ,935741,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),539, , ,GE-1-1, , , , , , ,361399,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),57(@HSI-R-Turbo-AE),619, , ,GE-1-1, , , , , , ,402306,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),602, , ,GE-1-1, , , , , , ,802739,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),623, , ,GE-1-1, , , , , , ,942315,N,Y,Y,Y,Y,
Elizabethtown, , ,3(@AE Data),53(@HSI-LITE-AE),136, , ,GE-1-1, , , , , , ,CXNK0007934B,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),53(@HSI-LITE-AE),1411, , ,GE-1-1, , , , , , ,464602,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),53(@HSI-LITE-AE),1318, , ,GE-1-1, , , , , , ,972354,N,Y,Y,Y,Y,
Elizabethtown, , ,3(@AE Data),57(@HSI-R-Turbo-AE),504, , ,GE-1-1, , , , , , ,968520,N,Y,Y,Y,Y,
Simpson, , ,3(@AE Data),55(@HSI-R-Pro-AE),240, , ,GE-1-1, , , , , , ,994832,N,Y,Y,Y,Y,
Equality, , ,3(@AE Data),8(@AE Data 2/20),501, , ,GE-1-1, , , , , , ,CXNK0008EB8B,N,Y,Y,Y,Y,
